model,triplet_uuid,outlet_idx,sentence_idx,bias_type,mean_abs_shap,top20_tokens
biasdetector,97b1305c-13ca-4b74-a56a-f459bd79dfaf,3,24,lex_only,0.065684976125205,"extremist|0.4100;these|0.1279;""And|-0.1127;groups,|-0.0968;this.""|-0.0742;groups,|-0.0700;to|-0.0688;looking|-0.0334;and|0.0291;on|0.0291;latching|0.0255;these|0.0233;they|0.0215;for|0.0174;then|0.0147;are|0.0123;something,|0.0087;are|0.0067"
biasdetector,86e6e27d-1440-4879-8b13-0dd2d89f7281,1,16,lex_only,0.02234786243514261,"Regardless,|0.1120;talking|0.0670;Mr.’’|0.0631;Trumps|0.0533;openly|0.0420;conference.|-0.0346;astonishing|0.0321;United|-0.0304;his|-0.0269;embrace|0.0257;news|-0.0209;another|0.0193;frank|0.0170;issue|0.0157;impeachment|0.0129;at|0.0128;House|-0.0125;of|0.0123;White|-0.0115;the|0.0104"
biasdetector,ad409798-ee94-4436-92c5-92669193be14,1,19,lex_only,0.025541017675891006,"content|-0.1010;swipe|0.0999;thingand|0.0736;offending|-0.0699;censorship““|0.0680;that|-0.0537;MSNBC,|-0.0480;does|-0.0381;call|0.0345;are““|0.0301;to|0.0265;a|0.0243;at|0.0211;took|0.0191;fake,””|-0.0161;he|-0.0158;be|0.0153;CNN|0.0142;a|-0.0134;not|-0.0131"
biasdetector,97566c74-e000-49fb-b091-e6ec6e179de0,3,4,lex_only,0.06985917141557568,loudly|0.3408;claiming|0.2584;year.)|-0.0902;made|-0.0690;waves|-0.0679;running|-0.0678;considering|-0.0660;(Trump|0.0632;the|0.0614;earlier|-0.0372;very|0.0354;Republican|0.0262;was|-0.0232;in|0.0195;a|0.0169;he|-0.0057;by|-0.0057;as|0.0030
biasdetector,47a209b0-fc26-4a0a-a1fe-e4310d1d2419,1,7,lex_only,0.028210278789548987,"howling|0.2146;circumstances.""|-0.0689;bet|0.0526;the|0.0481;““You|-0.0461;was|-0.0451;FBI|0.0439;foot|0.0413;moon|0.0359;would|-0.0356;filling|0.0353;Court|-0.0342;investigation|-0.0332;be|0.0324;can|0.0301;about|0.0273;Republicans|0.0262;seat|0.0231;the|0.0210;at|0.0208"
biasdetector,6f95dcb9-e960-45ac-8c0e-91b85724c909,3,23,lex_only,0.03982433031293719,"railed|0.2685;logic|0.0984;he|0.0809;lack|0.0694;Reflecting|-0.0646;education,|-0.0641;of|-0.0573;against|-0.0545;government|0.0449;on|-0.0398;the|0.0292;formal|-0.0146;extending|0.0139;argue|0.0098;to|0.0081;handouts|0.0081;own|-0.0066;health|0.0065;against|-0.0061;his|-0.0035"
biasdetector,f688c56d-7fae-42ef-b7f7-7db207b58d27,3,9,lex_only,0.017309887580340747,"bluster|0.4292;election|0.0342;including|-0.0313;at|0.0301;Wis.),|-0.0288;It’’s|-0.0279;all,|0.0227;clear|-0.0212;what|-0.0212;his|-0.0207;be|-0.0191;considering|-0.0177;would|-0.0154;not|-0.0151;the’’|0.0131;House|-0.0121;have|-0.0120;said|-0.0120;proposed―|0.0109;who|-0.0107"
biasdetector,7a97de89-1433-46f7-bcc2-f80b041cb9a0,3,20,lex_only,0.04493415164976689,"Members|-0.1687;have|-0.1440;censuring|0.1342;even|0.1339;talking|0.0850;headaches’’|0.0806;him.|0.0700;been|0.0530;state|0.0496;hes|0.0408;about|0.0390;to|-0.0387;GOP|0.0385;deal|-0.0379;party|0.0239;the|0.0192;well,|-0.0160;caused|-0.0148;of|-0.0108;with|-0.0100"
biasdetector,76810849-0335-4ad3-9eaf-f0d9c5baceb6,1,1,lex_only,0.031398754863975906,far|-0.1202;term|-0.0817;nominee|-0.0740;step””|-0.0711;should““|0.0628;went|0.0611;so|0.0499;using|-0.0498;Clinton|0.0470;either.|0.0440;wont|0.0382;raceif|-0.0304;this””|-0.0285;Obama|0.0282;she’’|0.0276;not|-0.0261;presidential|-0.0225;the|-0.0194;as|0.0171;say|0.0102
biasdetector,b5eefefb-2a33-45de-abe1-f855c94165f4,3,3,lex_only,0.044678292745425376,"no|0.1404;mentioning|0.1219;was|0.1180;Quayle,|-0.1132;mistake|0.0945;of|0.0718;Dan|0.0661;Ryan|0.0545;Kennedy|-0.0536;in|-0.0516;economy.|-0.0508;argument|-0.0395;whether|-0.0345;make|0.0252;but|-0.0249;over|-0.0247;John|0.0244;cuts|0.0227;he|-0.0199;the|0.0189"
